name,sample,OH_over_solar,DTG,DTG_err_low,DTG_err_high,DTM,DTM_err_low,DTM_err_high,OH_err_low,OH_err_high
NGC5705,HIGH,0.40944517966719735,0.003823448706643546,0.0007011322289947109,0.0008380893387800086,0.4097802144204438,0.16259346926649965,0.1909527480553908,0.035248949237663446,0.03873590445478945
,HRS_LTG,0.41253694659777235,0.0040496427801902345,0.0013296414715669976,0.00220490860117097,0.4219140544390992,0.27554525191298956,0.4332902091963723,0.03511258926454097,0.03511258926454097
,HRS_LTG,0.4125767893136056,0.008286104877948335,0.0029682021319345944,0.006114680904995056,0.598912001968148,0.5858680414872431,1.152887195967982,0.0351159804296906,0.0351159804296906
,HRS_LTG,0.4138889249283287,0.0026935629283308597,0.0006350132641204905,0.00085897545664848,0.326082640928553,0.14182551738088528,0.18205723928878245,0.03522766128465186,0.03522766128465186
NGC5725,HIGH,0.41418440502440973,0.0032555122374784426,0.0011090078955799058,0.001686511971649228,0.36884255116065406,0.21484921385850497,0.3192602747503819,0.017712368491414183,0.018548299988581027
UM448,DGS,0.4209173842557447,0.0013672531142586329,0.00042899867426289344,0.0009400010761773537,0.19452731462994838,0.0923338544249197,0.18259561375790767,0.03582588020191823,0.03582588020191823
,HRS_LTG,0.42550145733345685,0.003654761375304476,0.0013763987521928822,0.002672012493687827,0.3897266451042917,0.273674359127599,0.5000617370290208,0.03621604810436621,0.03621604810436621
,HRS_LTG,0.4314696049955418,0.003103615714788539,0.0005413756227097325,0.0006719116592890377,0.3484514276650621,0.12294611764585414,0.14543966392974628,0.036724019861216484,0.036724019861216484
IC10,DGS,0.4338632634965914,0.0013570855589825632,3.288076637777623e-05,3.277322468510412e-05,0.18867942916299332,0.02169387187046909,0.02167544287323562,0.03692775324432332,0.03692775324432332
,HRS_LTG,0.4365646296970066,0.005509249292981708,0.0017061417958978836,0.002837876720975189,0.4840724194378545,0.33176690872756454,0.524507810937032,0.037157676800578215,0.037157676800578215
