galaxy,gas_fraction,zini_zsun,run,output,time_myr,m_gas,m_metals,m_H,m_O,m_dust_smallC,m_dust_largeC,m_dust_smallSil_Si,m_dust_largeSil_Si,m_dust,OH_over_solar,OHgas_over_solar,Z_over_solar,DTG,DTM_metals,DTM
G9,LG,0.1,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.1Zsun_DTMini1d-3,61,300.1,125200000.0,740100.0,94080000.0,337300.0,12020.0,30640.0,6252.0,24070.0,228684.53987730062,0.45753697240074664,0.3636677907417334,0.4395049704858843,0.0018265538328857878,0.3089914064008926,0.2968137377795757
G9,LG,0.1,1d11_fg0.15_FixSilTaccBug/CorrectSN_0.1Zsun_DTMini1d-3,81,400.1,116900000.0,717100.0,87770000.0,326200.0,12570.0,39630.0,5933.0,23450.0,232463.8036809816,0.47429114880179013,0.3767893711466509,0.4560819942695597,0.0019885697491957366,0.3241720871300817,0.3117263570242176
G10,LG,0.03,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.03Zsun_MR,21,100.1,650800000.0,2220000.0,490800000.0,1145000.0,8869.0,24150.0,21520.0,27310.0,332589.5521472393,0.2977200575146246,0.2687436415586708,0.2536197942252372,0.0005110472528384131,0.1498151135798375,0.1276235084567068
G10,LG,0.03,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.03Zsun_MR,41,200.0,842700000.0,3463000.0,633900000.0,1782000.0,25110.0,47350.0,30290.0,69090.0,682153.2515337423,0.3587518171417009,0.31309130927308376,0.3055323590353718,0.0008094852872122253,0.19698332415066194,0.16776160243004173
G10,LG,0.03,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.03Zsun_MR,61,300.1,827800000.0,3827000.0,621600000.0,1953000.0,49410.0,87060.0,29600.0,83260.0,828862.6380368097,0.40095755320490134,0.34807754215645814,0.3437247112649554,0.0010012836893413986,0.21658286857507442,0.1856677430587264
G10,LG,0.03,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.03Zsun_MR,81,400.1,813800000.0,4214000.0,609900000.0,2130000.0,67010.0,151100.0,31460.0,94330.0,989827.7914110429,0.44568511697603624,0.3856161752393416,0.38499453205440354,0.0012163035038228593,0.23489031594946438,0.20290443595391
G10,LG,0.1,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.1Zsun_MR,21,100.1,799300000.0,5098000.0,600500000.0,2394000.0,85990.0,147100.0,52540.0,121500.0,1300820.0613496932,0.5087662524639325,0.42435534679659004,0.4742067524697493,0.0016274490946449308,0.25516282097875503,0.23783010783706293
G10,LG,0.1,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.1Zsun_MR,41,200.2,852400000.0,6118000.0,638400000.0,2905000.0,130400.0,301600.0,52310.0,174700.0,1824699.3865030673,0.580711491177254,0.47714611012761754,0.5336343130875603,0.0021406609414630073,0.29825096216133823,0.27407232289827255
G10,LG,0.1,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.1Zsun_MR,61,300.0,857900000.0,6727000.0,640900000.0,3204000.0,143000.0,428700.0,54030.0,191200.0,2076178.527607362,0.637983427436011,0.5265422162227088,0.5829918392408886,0.0024200705532199116,0.3086336446569588,0.2820306741717459
G10,LG,0.1,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.1Zsun_MR,81,400.0,842100000.0,7091000.0,627700000.0,3367000.0,151200.0,526900.0,53710.0,203100.0,2253621.472392638,0.6845389263169469,0.5653811748819741,0.6260680393192978,0.002676192224667662,0.31781433823052296,0.29066776475968786
G10,LG,0.3,1d12_fg0.10_FixSilTaccBug/CorrectSN_MR,21,100.0,944600000.0,14540000.0,700900000.0,6498000.0,349000.0,1094000.0,157900.0,475300.0,5327662.576687116,1.1831254830498026,0.9200094315015412,1.1444430364104474,0.005640125531110646,0.3664142074750424,0.3544342457282812
G10,LG,0.3,1d12_fg0.10_FixSilTaccBug/CorrectSN_MR,41,200.0,915600000.0,14770000.0,676800000.0,6640000.0,385800.0,1524000.0,130700.0,519600.0,5899370.552147239,1.2520304490630194,0.9721865127211284,1.199367916055614,0.006443174478098776,0.3994157448982559,0.3826156384271049
G10,LG,0.3,1d12_fg0.10_FixSilTaccBug/CorrectSN_MR,61,300.0,905700000.0,15140000.0,667300000.0,6831000.0,398000.0,1647000.0,129800.0,524500.0,6059110.429447852,1.3063824038115972,1.0208086485342884,1.2428514492887466,0.006689975079438945,0.4002054444813641,0.38074297023266046
G10,LG,0.3,1d12_fg0.10_FixSilTaccBug/CorrectSN_MR,81,400.0,916000000.0,15790000.0,672900000.0,7147000.0,415000.0,1737000.0,133100.0,537300.0,6264883.435582822,1.3554403669170803,1.0652747334091672,1.2816350383922337,0.006839392396924478,0.39676272549606223,0.37515852658301496
G10,LG,0.6,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.6Zsun_MR,21,100.2,1051000000.0,30160000.0,765600000.0,13380000.0,805600.0,3085000.0,313000.0,1099000.0,12553176.687116563,2.2302900674106882,1.6931404521216793,2.133567252289376,0.011944031100967234,0.4162193861776049,0.3981688593302602
G10,LG,0.6,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.6Zsun_MR,41,200.1,943500000.0,27770000.0,684600000.0,12380000.0,783400.0,3484000.0,244100.0,1045000.0,12175988.957055215,2.307761434458699,1.7593427903762309,2.1883243400846726,0.012905128730318193,0.43845837079781114,0.41576616655602244
G10,LG,0.6,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.6Zsun_MR,61,300.1,971900000.0,28560000.0,703300000.0,12780000.0,802600.0,3587000.0,248100.0,1057000.0,12396348.466257669,2.3189821087190463,1.7785194798831574,2.1848133288912877,0.012754757141946361,0.43404581464487635,0.40893333226681416
G10,LG,0.6,1d12_fg0.10_FixSilTaccBug/CorrectSN_0.6Zsun_MR,81,400.0,921500000.0,27420000.0,664600000.0,12300000.0,775600.0,3431000.0,239100.0,996900.0,11789422.08588957,2.361847953993518,1.8201956050172179,2.2123295822432714,0.01279372988159476,0.4299570417902834,0.4027383223539465
