# Temp      kappa_abs_P kappa_ext_P kappa_abs_R kappa_ext_R
# [K]       [cm^2/g]    [cm^2/g]    [cm^2/g]    [cm^2/g]
2.54349e+03 2.36339e+03 5.71851e+03 2.37216e+03 4.36253e+03
2.59447e+03 2.40776e+03 5.90829e+03 2.40893e+03 4.47915e+03
2.64648e+03 2.45407e+03 6.10437e+03 2.44689e+03 4.59986e+03
2.69953e+03 2.50241e+03 6.30688e+03 2.48608e+03 4.72479e+03
2.75364e+03 2.55285e+03 6.51592e+03 2.52656e+03 4.85408e+03
2.80884e+03 2.60552e+03 6.73161e+03 2.56837e+03 4.98786e+03
2.86514e+03 2.66050e+03 6.95405e+03 2.61155e+03 5.12628e+03
2.92257e+03 2.71790e+03 7.18335e+03 2.65616e+03 5.26946e+03
2.98115e+03 2.77785e+03 7.41962e+03 2.70224e+03 5.41757e+03
3.04091e+03 2.84045e+03 7.66297e+03 2.74985e+03 5.57075e+03
3.10186e+03 2.90584e+03 7.91349e+03 2.79905e+03 5.72914e+03
3.16404e+03 2.97413e+03 8.17129e+03 2.84988e+03 5.89292e+03
3.22746e+03 3.04546e+03 8.43646e+03 2.90242e+03 6.06222e+03
3.29216e+03 3.11997e+03 8.70910e+03 2.95672e+03 6.23722e+03
3.35815e+03 3.19780e+03 8.98931e+03 3.01285e+03 6.41808e+03
3.42546e+03 3.27911e+03 9.27718e+03 3.07087e+03 6.60497e+03
3.49413e+03 3.36405e+03 9.57281e+03 3.13087e+03 6.79805e+03
3.56417e+03 3.45278e+03 9.87627e+03 3.19290e+03 6.99750e+03
3.63561e+03 3.54546e+03 1.01877e+04 3.25704e+03 7.20349e+03
3.70848e+03 3.64228e+03 1.05071e+04 3.32338e+03 7.41619e+03
3.78282e+03 3.74342e+03 1.08346e+04 3.39200e+03 7.63580e+03
3.85865e+03 3.84905e+03 1.11703e+04 3.46298e+03 7.86249e+03
3.93599e+03 3.95938e+03 1.15143e+04 3.53640e+03 8.09644e+03
4.01489e+03 4.07461e+03 1.18666e+04 3.61236e+03 8.33785e+03
4.09537e+03 4.19495e+03 1.22274e+04 3.69096e+03 8.58690e+03
4.17746e+03 4.32061e+03 1.25967e+04 3.77228e+03 8.84377e+03
