# Numerical radiation field:  mathis1983
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
  100.6700 7.667637e+05
  100.6800 7.671668e+05
  100.6900 7.675700e+05
  100.7000 7.679733e+05
  100.7100 7.683766e+05
  100.7200 7.687801e+05
  100.7300 7.691837e+05
  100.7400 7.695874e+05
  100.7500 7.699912e+05
  100.7600 7.703951e+05
  100.7700 7.707990e+05
  100.7800 7.712031e+05
  100.7900 7.716073e+05
  100.8000 7.720116e+05
  100.8100 7.724160e+05
  100.8200 7.728205e+05
  100.8300 7.732250e+05
  100.8400 7.736297e+05
  100.8500 7.740345e+05
  100.8600 7.744393e+05
  100.8700 7.748443e+05
  100.8800 7.752493e+05
  100.8900 7.756545e+05
  100.9000 7.760597e+05
  100.9100 7.764651e+05
  100.9200 7.768705e+05
  100.9300 7.772760e+05
  100.9400 7.776816e+05
  100.9500 7.780873e+05
  100.9600 7.784931e+05
  100.9700 7.788990e+05
  100.9800 7.793050e+05
