# Object	Reference	Metallicity	[Fe/H]	[Mg/Fe]
HIP83867	T.Bensby+AAP562A712014	-0.23	-0.28	0.07
HIP8398	T.Bensby+AAP562A712014	0.2	0.15	0.1
HIP84255	T.Bensby+AAP562A712014	-0.56	-0.61	0.11
HIP84551	T.Bensby+AAP562A712014	0.12	0.07	0
HIP84551	K.A.Venn+AJ12811772004		0.12	0.12
HIP84551	T.Bensby+AAP4331852005		0.12	0.12
HIP84636	T.Bensby+AAP562A712014	0.3	0.25	-0.04
HIP84636	K.A.Venn+AJ12811772004		0.23	0.08
HIP84636	T.Bensby+AAP4331852005		0.23	0.08
HIP84781	T.Bensby+AAP562A712014	-0.25	-0.3	0.23
HIP84803	T.Bensby+AAP562A712014	-0.39	-0.44	0.2
HIP84905	T.Bensby+AAP562A712014	-0.5	-0.55	0.23
HIP84905	K.A.Venn+AJ12811772004		-0.57	0.33
HIP84905	T.Bensby+AAP4331852005		-0.57	0.33
HIP84907	T.Bensby+AAP562A712014	-0.08	-0.13	-0.01
HIP8498	T.Bensby+AAP562A712014	0.04	-0.01	0.02
HIP84988	T.Bensby+AAP562A712014	-0.7	-0.75	0.33
HIP85042	T.Bensby+AAP562A712014	0	-0.05	0
HIP85042	K.A.Venn+AJ12811772004		0.03	0.01
HIP85042	T.Bensby+AAP4331852005		0.03	0.01
HIP85320	T.Bensby+AAP562A712014	-0.13	-0.18	0.14
HIP85373	K.A.Venn+AJ12811772004		-0.52	0.33
HIP85474	T.Bensby+AAP562A712014	0.21	0.16	0.29
HIP85963	T.Bensby+AAP562A712014	-0.61	-0.66	0.19
HIP85969	T.Bensby+AAP562A712014	0.1	0.05	-0.04
HIP86193	T.Bensby+AAP562A712014	0.03	-0.02	-0.01
HIP86516	T.Bensby+AAP562A712014	-0.23	-0.28	0.14
HIP86694	T.Bensby+AAP562A712014	-1.85	-1.9	0.31
HIP86731	T.Bensby+AAP562A712014	0.29	0.24	0.01
HIP86731	K.A.Venn+AJ12811772004		0.25	0.09
HIP86731	T.Bensby+AAP4331852005		0.25	0.09
HIP8674	T.Bensby+AAP562A712014	-0.61	-0.66	0.24
HIP86796	T.Bensby+AAP562A712014	0.26	0.21	-0.05
HIP86796	K.A.Venn+AJ12811772004		0.32	0
HIP86796	T.Bensby+AAP4331852005		0.32	0
HIP87062	E.M.O'Malley+ApJ838902017	-1.56	-1.56	0.45
HIP87101	T.Bensby+AAP562A712014	-1.57	-1.62	0.47
HIP87154	T.Bensby+AAP562A712014	0.13	0.08	0.08
HIP87443	T.Bensby+AAP562A712014	-0.03	-0.08	0.02
HIP87523	T.Bensby+AAP562A712014	-0.33	-0.38	0.09
HIP87523	K.A.Venn+AJ12811772004		-0.4	0.15
HIP87523	T.Bensby+AAP4331852005		-0.4	0.15
HIP87533	T.Bensby+AAP562A712014	-0.12	-0.17	0.08
HIP87539	T.Bensby+AAP562A712014	-0.86	-0.91	0.39
HIP8758	T.Bensby+AAP562A712014	0	-0.05	-0.02
HIP87679	T.Bensby+AAP562A712014	0.11	0.06	0.04
HIP87769	T.Bensby+AAP562A712014	0.02	-0.03	0.02
HIP87841	T.Bensby+AAP562A712014	0.12	0.07	0
HIP8798	T.Bensby+AAP562A712014	-0.23	-0.28	0.21
HIP8859	T.Bensby+AAP562A712014	-0.3	-0.35	0.13
HIP88622	T.Bensby+AAP562A712014	-0.4	-0.45	0.23
HIP88622	K.A.Venn+AJ12811772004		-0.46	0.28
HIP88622	T.Bensby+AAP4331852005		-0.46	0.28
HIP88631	T.Bensby+AAP562A712014	0.28	0.23	-0.11
HIP88945	T.Bensby+AAP562A712014	0.02	-0.03	-0.1
HIP88945	T.Bensby+AAP4331852005	-0.05	-0.05	-0.06
HIP89036	T.Bensby+AAP562A712014	-0.02	-0.07	0
HIP89076	T.Bensby+AAP562A712014	0.01	-0.04	-0.03
HIP89105	T.Bensby+AAP562A712014	0.06	0.01	0.01
HIP89207	T.Bensby+AAP562A712014	0.05	0	-0.02
HIP89554	T.Bensby+AAP562A712014	-1.57	-1.62	0.39
HIP89583	T.Bensby+AAP562A712014	-0.35	-0.4	0.23
HIP89589	T.Bensby+AAP562A712014	-0.08	-0.13	0.03
HIP89733	T.Bensby+AAP562A712014	-0.53	-0.58	0.28
HIP89881	T.Bensby+AAP562A712014	-0.06	-0.11	0.04
HIP89952	T.Bensby+AAP562A712014	-0.5	-0.55	0.13
HIP90004	T.Bensby+AAP562A712014	-0.14	-0.19	0.18
HIP90151	T.Bensby+AAP562A712014	0.27	0.22	0.08
HIP90261	T.Bensby+AAP562A712014	-0.99	-1.04	0.37
HIP90365	T.Bensby+AAP562A712014	-0.21	-0.26	0.03
HIP90442	T.Bensby+AAP562A712014	-0.47	-0.52	0.27
HIP90485	T.Bensby+AAP562A712014	0.19	0.14	-0.02
HIP90485	K.A.Venn+AJ12811772004		0.12	0.03
HIP90485	T.Bensby+AAP4331852005		0.12	0.03
HIP90539	T.Bensby+AAP562A712014	-0.26	-0.31	0.2
HIP9085	T.Bensby+AAP562A712014	-0.26	-0.31	0.1
HIP9085	K.A.Venn+AJ12811772004		-0.31	0.07
HIP9085	T.Bensby+AAP4331852005		-0.31	0.07
HIP90896	T.Bensby+AAP562A712014	0.22	0.17	-0.02
HIP910	T.Bensby+AAP562A712014	-0.33	-0.38	0.01
HIP910	T.Bensby+AAP4331852005	-0.36	-0.36	0.06
HIP91089	T.Bensby+AAP562A712014	-0.2	-0.25	-0.01
HIP91095	T.Bensby+AAP562A712014	-0.27	-0.32	0.12
HIP91360	T.Bensby+AAP562A712014	0.2	0.15	-0.19
HIP9137	T.Bensby+AAP562A712014	-0.33	-0.38	0.16
HIP91438	T.Bensby+AAP562A712014	-0.29	-0.34	0.03
HIP91438	K.A.Venn+AJ12811772004		-0.24	0.01
HIP91438	T.Bensby+AAP4331852005		-0.24	0.01
HIP91471	T.Bensby+AAP562A712014	-0.26	-0.31	0.15
HIP91582	T.Bensby+AAP562A712014	0.11	0.06	-0.04
HIP92270	T.Bensby+AAP562A712014	-0.05	-0.1	-0.1
HIP92270	T.Bensby+AAP4331852005	-0.06	-0.06	0.01
HIP92288	T.Bensby+AAP562A712014	-0.21	-0.26	0.21
HIP92864	T.Bensby+AAP562A712014	0.07	0.02	0.06
HIP92880	T.Bensby+AAP562A712014	-0.1	-0.15	0.11
HIP92973	T.Bensby+AAP562A712014	-0.56	-0.61	0.22
HIP9316	T.Bensby+AAP562A712014	0.1	0.05	0.06
HIP93185	T.Bensby+AAP562A712014	-0.29	-0.34	0.03
HIP93185	T.Bensby+AAP4331852005	-0.28	-0.28	0.02
HIP93186	T.Bensby+AAP562A712014	-2.31	-2.36	0.37
HIP93377	T.Bensby+AAP562A712014	-0.07	-0.12	0.06
HIP93507	T.Bensby+AAP562A712014	-0.73	-0.78	0.36
HIP9381	T.Bensby+AAP562A712014	-0.28	-0.33	0.22
HIP93889	T.Bensby+AAP562A712014	0.22	0.17	-0.01
HIP93966	T.Bensby+AAP562A712014	0.15	0.1	-0.01
HIP94196	K.A.Venn+AJ12811772004		-2.06	0.53
HIP94347	T.Bensby+AAP562A712014	-0.62	-0.67	0.11
HIP94645	T.Bensby+AAP562A712014	0.24	0.19	-0.09
HIP94645	K.A.Venn+AJ12811772004		0.16	-0.01
HIP94645	T.Bensby+AAP4331852005		0.16	-0.01
HIP94678	T.Bensby+AAP562A712014	-0.17	-0.22	0.16
HIP9471	T.Bensby+AAP562A712014	0.04	-0.01	0.12
HIP950	T.Bensby+AAP562A712014	-0.02	-0.07	-0.08
HIP95106	T.Bensby+AAP562A712014	-0.17	-0.22	-0.05
HIP95262	T.Bensby+AAP562A712014	-0.51	-0.56	0.25
HIP95447	T.Bensby+AAP562A712014	0.41	0.36	0
HIP95447	T.Bensby+AAP4331852005	0.37	0.37	0.08
HIP96124	T.Bensby+AAP562A712014	-0.22	-0.27	0.17
HIP96124	K.A.Venn+AJ12811772004		-0.2	0.17
HIP96124	T.Bensby+AAP4331852005		-0.2	0.17
HIP96160	T.Bensby+AAP562A712014	-0.02	-0.07	-0.06
HIP96248	K.A.Venn+AJ12811772004		-1.73	0.29
HIP96258	T.Bensby+AAP562A712014	-0.03	-0.08	-0.01
HIP96258	T.Bensby+AAP4331852005	-0.02	-0.02	0.04
HIP9629	T.Bensby+AAP562A712014	-0.28	-0.33	0.12
HIP96425	T.Bensby+AAP562A712014	0.13	0.08	0.07
HIP96536	T.Bensby+AAP562A712014	0.1	0.05	-0.01
HIP96536	K.A.Venn+AJ12811772004		0.03	0.07
HIP96536	T.Bensby+AAP4331852005		0.03	0.07
HIP96854	T.Bensby+AAP562A712014	0.11	0.06	0.03
HIP96881	T.Bensby+AAP562A712014	0.06	0.01	-0.04
HIP97024	T.Bensby+AAP562A712014	-0.23	-0.28	0.2
HIP97192	K.A.Venn+AJ12811772004		-2.58	0.61
HIP97213	T.Bensby+AAP562A712014	0.2	0.15	0.02
HIP97358	T.Bensby+AAP562A712014	-0.03	-0.08	-0.09
HIP97676	T.Bensby+AAP562A712014	0.11	0.06	-0.06
HIP97779	T.Bensby+AAP562A712014	0.12	0.07	-0.06
HIP9818	T.Bensby+AAP562A712014	-0.05	-0.1	0.12
HIP98339	K.A.Venn+AJ12811772004		-2.93	0.36
HIP98355	T.Bensby+AAP562A712014	-0.62	-0.67	0.15
HIP98416	T.Bensby+AAP562A712014	-0.08	-0.13	0.04
HIP98492	E.M.O'Malley+ApJ838902017	-1.4	-1.4	0.39
HIP98565	T.Bensby+AAP562A712014	-0.49	-0.54	0.13
HIP98767	T.Bensby+AAP562A712014	0.26	0.21	0.01
HIP98767	K.A.Venn+AJ12811772004		0.25	0.04
HIP98767	T.Bensby+AAP4331852005		0.25	0.04
HIP98785	T.Bensby+AAP562A712014	0.05	0	0.06
HIP98785	K.A.Venn+AJ12811772004		0.03	0.04
HIP98785	T.Bensby+AAP4331852005		0.03	0.04
HIP98964	T.Bensby+AAP562A712014	0.06	0.01	0.09
HIP99100	T.Bensby+AAP562A712014	-0.09	-0.14	0.1
HIP9911	T.Bensby+AAP562A712014	0.08	0.03	0.08
HIP99139	T.Bensby+AAP562A712014	-0.37	-0.42	0.3
HIP99174	T.Bensby+AAP562A712014	0.17	0.12	-0.04
HIP99224	T.Bensby+AAP562A712014	-0.07	-0.12	0.15
HIP99240	T.Bensby+AAP562A712014	0.37	0.44	-0.04
HIP99240	K.A.Venn+AJ12811772004		0.37	
HIP99240	T.Bensby+AAP4331852005		0.37	-0.02
HIP99551	T.Bensby+AAP562A712014	-0.22	-0.27	0.19
HIP99799	T.Bensby+AAP562A712014	-0.29	-0.34	0.08
HKII17435-00532	I.U.Roederer+ApJ67915492008	-2.23	-2.23	0.4
HR1010	K.A.Venn+AJ12811772004		-0.23	0.1
HR107	K.A.Venn+AJ12811772004		-0.37	0.18
HR1083	K.A.Venn+AJ12811772004		-0.11	-0.08
HR1173	K.A.Venn+AJ12811772004		0.09	0.06
HR1257	K.A.Venn+AJ12811772004		0.04	0.11
HR1294	K.A.Venn+AJ12811772004		-0.18	0.06
HR140	K.A.Venn+AJ12811772004		0.05	-0.03
HR145	K.A.Venn+AJ12811772004		-0.25	0.12
HR1536	J.Simmerer+ApJ61710912004		0.04	
HR1536	K.A.Venn+AJ12811772004		0.14	0.18
HR1545	J.Simmerer+ApJ61710912004		-0.48	
HR1545	K.A.Venn+AJ12811772004		-0.33	0.32
HR1687	K.A.Venn+AJ12811772004		0.26	0.04
HR17	K.A.Venn+AJ12811772004		-0.35	0.21
HR1983	J.Simmerer+ApJ61710912004		-0.11	
HR1983	K.A.Venn+AJ12811772004		-0.07	-0.01
HR203	K.A.Venn+AJ12811772004		-0.28	0.07
HR2047	J.Simmerer+ApJ61710912004		-0.05	
HR2047	K.A.Venn+AJ12811772004		-0.02	-0.04
HR2141	K.A.Venn+AJ12811772004		-0.24	0.08
HR219	J.Simmerer+ApJ61710912004		-0.36	
HR219	K.A.Venn+AJ12811772004		-0.31	0.14
HR2220	J.Simmerer+ApJ61710912004		-0.05	
HR2220	K.A.Venn+AJ12811772004		0.04	-0.07
HR2233	J.Simmerer+ApJ61710912004		-0.25	
HR2233	K.A.Venn+AJ12811772004		-0.17	0.09
HR235	J.Simmerer+ApJ61710912004	-0.12	-0.28	
HR235	K.A.Venn+AJ12811772004		-0.15	0.05
HR2354	K.A.Venn+AJ12811772004		0.13	0.06
HR2493	J.Simmerer+ApJ61710912004		-0.51	
HR2493	K.A.Venn+AJ12811772004		-0.37	0.09
HR2548	K.A.Venn+AJ12811772004		-0.2	0.04
HR2721	J.Simmerer+ApJ61710912004		-0.33	
HR2721	K.A.Venn+AJ12811772004		-0.28	0.1
HR2835	J.Simmerer+ApJ61710912004		-0.61	
HR2835	K.A.Venn+AJ12811772004		-0.55	0.21
HR2943	J.Simmerer+ApJ61710912004		-0.11	
HR2943	K.A.Venn+AJ12811772004		-0.02	0.07
HR3176	K.A.Venn+AJ12811772004		0.04	0.09
HR3220	K.A.Venn+AJ12811772004		-0.26	0.16
HR3271	J.Simmerer+ApJ61710912004		0.02	
HR3271	K.A.Venn+AJ12811772004		0.07	-0.03
HR33	J.Simmerer+ApJ61710912004		-0.45	
HR33	K.A.Venn+AJ12811772004		-0.38	0.13
HR340	K.A.Venn+AJ12811772004		-0.21	0.16
HR35	K.A.Venn+AJ12811772004		-0.1	-0.07
HR3538	J.Simmerer+ApJ61710912004		0.04	
HR3538	K.A.Venn+AJ12811772004		0.01	0.09
HR3648	J.Simmerer+ApJ61710912004		-0.11	
HR3648	K.A.Venn+AJ12811772004		-0.08	0.15
HR366	J.Simmerer+ApJ61710912004		-0.4	
HR366	K.A.Venn+AJ12811772004		-0.32	0.06
HR368	J.Simmerer+ApJ61710912004		-0.31	
HR368	K.A.Venn+AJ12811772004		-0.24	0.07
HR370	K.A.Venn+AJ12811772004		0.12	0.02
HR3881	K.A.Venn+AJ12811772004		0.04	0.11
HR3951	J.Simmerer+ApJ61710912004		-0.05	
HR3951	K.A.Venn+AJ12811772004		0.1	0.25
HR3954	K.A.Venn+AJ12811772004		0.04	0.03
HR4012	K.A.Venn+AJ12811772004		0.14	0.08
HR4027	K.A.Venn+AJ12811772004		-0.04	0.13
HR4067	J.Simmerer+ApJ61710912004		0.11	
HR4067	K.A.Venn+AJ12811772004		0.18	0.06
HR4158	J.Simmerer+ApJ61710912004		-0.3	
HR4158	K.A.Venn+AJ12811772004		-0.24	0.03
HR4277	J.Simmerer+ApJ61710912004		-0.02	
HR4277	K.A.Venn+AJ12811772004		0.01	0.03
HR4285	K.A.Venn+AJ12811772004		-0.3	0.08
HR448	J.Simmerer+ApJ61710912004		-0.14	
HR448	K.A.Venn+AJ12811772004		0.09	0.19
HR4529	K.A.Venn+AJ12811772004		0.16	0.09
HR4533	J.Simmerer+ApJ61710912004		0.12	
HR4533	K.A.Venn+AJ12811772004		0.24	0.01
HR458	J.Simmerer+ApJ61710912004	-0.12	0.03	
HR458	K.A.Venn+AJ12811772004		0.09	0.14
HR4683	K.A.Venn+AJ12811772004		-0.54	0.14
HR4688	K.A.Venn+AJ12811772004		0.21	0.19
HR4734	K.A.Venn+AJ12811772004		0.1	0.01
HR4785	J.Simmerer+ApJ61710912004		-0.21	
HR4785	K.A.Venn+AJ12811772004		-0.19	0.04
HR483	J.Simmerer+ApJ61710912004		-0.11	
HR483	K.A.Venn+AJ12811772004		-0.02	0.09
HR4845	J.Simmerer+ApJ61710912004		-0.73	
HR4845	K.A.Venn+AJ12811772004		-0.59	0.24
HR4903	K.A.Venn+AJ12811772004		0.24	0.1
HR4981	K.A.Venn+AJ12811772004		-0.17	0.14
HR4989	K.A.Venn+AJ12811772004		-0.28	0.17
HR5011	J.Simmerer+ApJ61710912004		0.03	
HR5011	K.A.Venn+AJ12811772004		0.1	0.11
HR5019	J.Simmerer+ApJ61710912004		-0.13	
HR5019	K.A.Venn+AJ12811772004		-0.03	0.06
HR5323	K.A.Venn+AJ12811772004		0.07	0.06
HR5338	K.A.Venn+AJ12811772004		-0.11	0.16
HR5353	K.A.Venn+AJ12811772004		0.13	0.08
HR5423	K.A.Venn+AJ12811772004		0.05	0.19
HR5459	K.A.Venn+AJ12811772004		0.15	0.11
HR5542	K.A.Venn+AJ12811772004		0.13	-0.01
HR5691	K.A.Venn+AJ12811772004		-0.02	0.03
HR5698	K.A.Venn+AJ12811772004		0.01	0.11
HR5723	J.Simmerer+ApJ61710912004		-0.19	
HR5723	K.A.Venn+AJ12811772004		-0.12	0.13
HR573	K.A.Venn+AJ12811772004		-0.34	0.04
HR5868	K.A.Venn+AJ12811772004		-0.04	0.12
HR5914	J.Simmerer+ApJ61710912004		-0.48	
HR5914	K.A.Venn+AJ12811772004		-0.52	0.2
HR5968	K.A.Venn+AJ12811772004		-0.26	0.17
HR5996	K.A.Venn+AJ12811772004		0.23	0.08
HR6189	K.A.Venn+AJ12811772004		-0.56	0.18
HR6202	K.A.Venn+AJ12811772004		-0.37	0.03
HR6315	K.A.Venn+AJ12811772004		-0.17	0.08
HR6409	K.A.Venn+AJ12811772004		0.09	0.1
HR646	J.Simmerer+ApJ61710912004	-0.35	-0.35	
HR646	K.A.Venn+AJ12811772004		-0.32	0.11
HR6541	K.A.Venn+AJ12811772004		-0.23	0.17
HR6569	K.A.Venn+AJ12811772004		-0.27	0.17
HR6598	K.A.Venn+AJ12811772004		-0.39	0.12
HR6649	K.A.Venn+AJ12811772004		-0.34	0.06
HR6701	K.A.Venn+AJ12811772004		-0.22	0.18
HR6775	K.A.Venn+AJ12811772004		-0.56	0.11
HR6850	K.A.Venn+AJ12811772004		-0.32	0.09
HR6907	K.A.Venn+AJ12811772004		0.13	0
HR7126	K.A.Venn+AJ12811772004		0.21	-0.09
HR720	J.Simmerer+ApJ61710912004		-0.25	
HR720	K.A.Venn+AJ12811772004		-0.22	0.07
HR7232	K.A.Venn+AJ12811772004		0.03	0.04
HR7322	K.A.Venn+AJ12811772004		-0.28	0.17
HR740	J.Simmerer+ApJ61710912004		-0.32	
HR740	K.A.Venn+AJ12811772004		-0.25	0.08
HR7534	K.A.Venn+AJ12811772004		-0.13	0.15
HR7560	K.A.Venn+AJ12811772004		0.09	0.07
HR7766	K.A.Venn+AJ12811772004		-0.36	0.07
HR7875	K.A.Venn+AJ12811772004		-0.44	0.1
HR7955	K.A.Venn+AJ12811772004		0.12	0.1
HR799	K.A.Venn+AJ12811772004		-0.02	0.01
HR8041	K.A.Venn+AJ12811772004		0.11	0.1
HR8077	K.A.Venn+AJ12811772004		-0.07	0.06
HR8181	K.A.Venn+AJ12811772004		-0.67	0.12
HR8472	K.A.Venn+AJ12811772004		0.06	0.19
HR8665	K.A.Venn+AJ12811772004		-0.32	0.13
HR8697	K.A.Venn+AJ12811772004		-0.25	0.11
HR8729	K.A.Venn+AJ12811772004		0.06	0.18
HR8805	K.A.Venn+AJ12811772004		-0.13	0.12
HR8885	K.A.Venn+AJ12811772004		0.02	0.15
HR8969	J.Simmerer+ApJ61710912004	-0.22	-0.26	
HR8969	K.A.Venn+AJ12811772004		-0.17	0.15
HR962	J.Simmerer+ApJ61710912004		0.04	
HR962	K.A.Venn+AJ12811772004		0.09	0.1
I12	A.Alves-Brito+AAP513A352010	-0.43	-0.43	0.34
I141	A.Alves-Brito+AAP513A352010	-0.3	-0.3	0.27
I151	A.Alves-Brito+AAP513A352010	-0.82	-0.82	0.39
I152	A.Alves-Brito+AAP513A352010	0	0.12	0.06
I156	A.Alves-Brito+AAP513A352010	-0.82	-0.82	0.38
I158	A.Alves-Brito+AAP513A352010	-0.01	-0.01	0.01
I194	A.Alves-Brito+AAP513A352010	-0.38	-0.38	0.31
I202	A.Alves-Brito+AAP513A352010	0.12	0.12	0.01
I25	A.Alves-Brito+AAP513A352010	0.44	0.44	0.07
I264	A.Alves-Brito+AAP513A352010	-1.23	-1.23	0.4
I322	A.Alves-Brito+AAP513A352010	-0.16	-0.16	0.03
I39	A.Alves-Brito+AAP513A352010	0.33	0.33	0.21
II119	A.Alves-Brito+AAP513A352010	-1.22	-1.22	0.33
II154	A.Alves-Brito+AAP513A352010	-0.71	-0.71	0.33
II172	A.Alves-Brito+AAP513A352010	-0.41	-0.41	0.33
II3	A.Alves-Brito+AAP513A352010	-1.28	-1.28	0.34
II33	A.Alves-Brito+AAP513A352010	-0.81	-0.84	0.34
III152	A.Alves-Brito+AAP513A352010	-0.59	-0.59	0.4
III220	A.Alves-Brito+AAP513A352010	-0.36	-0.36	0.22
IV167	A.Alves-Brito+AAP513A352010	0.39	0.39	0
IV203	A.Alves-Brito+AAP513A352010	-1.25	-1.25	0.47
IV325	A.Alves-Brito+AAP513A352010	0.23	0.23	0.1
IV329	A.Alves-Brito+AAP513A352010	-1.02	-1.02	0.37
IV47	A.Alves-Brito+AAP513A352010	-0.42	-0.42	0.39
IV72	A.Alves-Brito+AAP513A352010	0.12	0.12	0.25
J000738.2-034551	C.M.Sakari+ApJ8681102018	-2.09	-2.09	0.43
J001858.8-280036	G.R.Ruchti+ApJ73792011	-0.58	-0.58	0.07
J002244.9-172429	C.M.Sakari+ApJ8681102018	-3.38	-3.38	1.65
J003052.7-100704	C.M.Sakari+ApJ8681102018	-2.35	-2.35	1.15
J003314.2-104342	G.R.Ruchti+ApJ73792011	-1.76	-1.76	0.34
J004733.4-450942	G.R.Ruchti+ApJ73792011	-1.8	-1.8	0.35
J005327.8-025317	C.M.Sakari+ApJ8681102018	-2.16	-2.16	0.38
J005419.7-061155	C.M.Sakari+ApJ8681102018	-2.32	-2.32	0.81
J010700.3-160223	G.R.Ruchti+ApJ73792011	-0.84	-0.84	0.3
J010839.5-285701	G.R.Ruchti+ApJ73792011	-2.64	-2.64	0.25
J012415.6-102832	G.R.Ruchti+ApJ73792011	-0.82	-0.82	0.29
J013153.5-502702	G.R.Ruchti+ApJ73792011	-1.2	-1.2	0.39
J013758.9-433020	G.R.Ruchti+ApJ73792011	-0.53	-0.53	0.03
J014254.2-503248	G.R.Ruchti+ApJ73792011	-1.92	-1.92	0.3
J014519.5-280058	C.M.Sakari+ApJ8681102018	-2.6	-2.6	0.69
J014821.1-532145	G.R.Ruchti+ApJ73792011	-1.78	-1.78	0.28
J014907.9-491142	G.R.Ruchti+ApJ73792011	-2.65	-2.65	0.37
J015300.2-341736	G.R.Ruchti+ApJ73792011	-1.52	-1.52	0.28
J015401.6-220240	G.R.Ruchti+ApJ73792011	-1.74	-1.74	0.26
J015522.5-582242	G.R.Ruchti+ApJ73792011	-1.44	-1.44	0.43
J015656.3-140211	C.M.Sakari+ApJ8681102018	-2.08	-2.08	0.52
J020025.5-061101	G.R.Ruchti+ApJ73792011	-1.72	-1.72	0.32
J020706.4-500916	G.R.Ruchti+ApJ73792011	-1.97	-1.97	0.27
J021110.1-191124	G.R.Ruchti+ApJ73792011	-2.1	-2.1	0.37
J021634.8-394034	G.R.Ruchti+ApJ73792011	-1.59	-1.59	0.53
J021742.0-492344	G.R.Ruchti+ApJ73792011	-0.64	-0.64	0.06
J022308.0-312953	G.R.Ruchti+ApJ73792011	-1.68	-1.68	0.26
J022310.5-362823	G.R.Ruchti+ApJ73792011	-1.68	-1.68	0.34
J022658.3-074959	G.R.Ruchti+ApJ73792011	-1.71	-1.71	0.3
J022741.1-051923	C.M.Sakari+ApJ8681102018	-2.38	-2.38	0.5
J022938.7-130747	C.M.Sakari+ApJ8681102018	-1.42	-1.42	0.73
J023042.1-504643	G.R.Ruchti+ApJ73792011	-1.7	-1.7	0.27
J023557.6-174856	G.R.Ruchti+ApJ73792011	-1.78	-1.78	0.29
J023610.8-120256	C.M.Sakari+ApJ8681102018	-2.13	-2.13	0.65
J024139.0-042735	C.M.Sakari+ApJ8681102018	-2.48	-2.48	0.48
J024620.1-151842	C.M.Sakari+ApJ8681102018	-2.45	-2.45	1.38
J025500.9-232029	G.R.Ruchti+ApJ73792011	-1.58	-1.58	0.16
J030714.8-053455	C.M.Sakari+ApJ8681102018	-2.23	-2.23	0.52
J031005.5-401003	G.R.Ruchti+ApJ73792011	-1.41	-1.41	0.32
J031337.3-102056	C.M.Sakari+ApJ8681102018	-2.05	-2.05	0.48
J031459.1-371513	G.R.Ruchti+ApJ73792011	-1.73	-1.73	0.4
J031459.2-481045	G.R.Ruchti+ApJ73792011	-1.77	-1.77	0.27
J031540.6-190322	G.R.Ruchti+ApJ73792011	-1.31	-1.31	0.48
J032559.4-372358	G.R.Ruchti+ApJ73792011	-0.95	-0.95	0.4
J033655.9-292252	G.R.Ruchti+ApJ73792011	-0.58	-0.58	0.14
J034220.6-270736	G.R.Ruchti+ApJ73792011	-1.82	-1.82	0.42
J034346.3-092417	C.M.Sakari+ApJ8681102018	-1.92	-1.92	0.48
J034516.4-075922	G.R.Ruchti+ApJ73792011	-0.53	-0.53	0.1
J034621.6-073008	C.M.Sakari+ApJ8681102018	-1.99	-1.99	0.36
J035509.3-063711	C.M.Sakari+ApJ8681102018	-2.38	-2.38	0.98
J040148.9-375753	G.R.Ruchti+ApJ73792011	-2.03	-2.03	0.46
J040647.0-214611	G.R.Ruchti+ApJ73792011	-1.11	-1.11	0.33
J041929.7-051749	C.M.Sakari+ApJ8681102018	-2.02	-2.02	0.37
J042314.5+013048	G.R.Ruchti+ApJ73792011	-2.66	-2.66	0.3
J042324.4-131506	C.M.Sakari+ApJ8681102018	-2.38	-2.38	0.52
J042445.6-150150	G.R.Ruchti+ApJ73792011	-1.53	-1.53	0.35
J042917.8-342050	G.R.Ruchti+ApJ73792011	-1.05	-1.05	0.39
J043154.1-063210	G.Ruchti+ApJ7431072011	-1.85	-1.85	0.46
J043422.5-232528	C.M.Sakari+ApJ8681102018	-1.89	-1.89	0.38
J044106.6-350735	G.R.Ruchti+ApJ73792011	-1.44	-1.44	0.29
J044150.9-230348	C.M.Sakari+ApJ8681102018	-2.48	-2.48	1.54
J045301.7-243714	C.M.Sakari+ApJ8681102018	-2.44	-2.44	0.71
J045651.5-311543	C.M.Sakari+ApJ8681102018	-2.19	-2.19	0.33
J050332.7-625716	G.R.Ruchti+ApJ73792011	-0.37	-0.37	0.19
J050453.7-135037	G.R.Ruchti+ApJ73792011	-1.28	-1.28	0.28
J050550.5-214508	C.M.Sakari+ApJ8681102018	-2.16	-2.16	0.59
J050620.1-134421	G.R.Ruchti+ApJ73792011	-2.19	-2.19	0.42
J051111.7-363540	G.R.Ruchti+ApJ73792011	-1.56	-1.56	0.35
J051200.1-113048	G.R.Ruchti+ApJ73792011	-1.56	-1.56	0.31
J051727.4-134235	C.M.Sakari+ApJ8681102018	-2.14	-2.14	0.69
J052150.1-153705	G.R.Ruchti+ApJ73792011	-2.02	-2.02	0.41
J05254724-3049100	C.M.Sakari+ApJ8681102018	-2.18	-2.18	0.83
J053148.3-365951	G.R.Ruchti+ApJ73792011	-1.4	-1.4	0.06
J053709.3-303731	G.R.Ruchti+ApJ73792011	-0.87	-0.87	0.24
J055142.1-332734	G.R.Ruchti+ApJ73792011	-2.46	-2.46	0.44
J055215.7-395318	G.R.Ruchti+ApJ73792011	-2.05	-2.05	0.3
J055848.6-542624	G.R.Ruchti+ApJ73792011	-0.62	-0.62	-0.02
J061950.0-531211	G.R.Ruchti+ApJ73792011	-1.98	-1.98	0.33
J063201.2-202654	G.R.Ruchti+ApJ73792011	-1.48	-1.48	0.29
J063347.2-491234	G.R.Ruchti+ApJ73792011	-1.19	-1.19	0.38
J063411.2-641831	G.R.Ruchti+ApJ73792011	-1.32	-1.32	0.51
J064013.1-354044	G.R.Ruchti+ApJ73792011	-2.11	-2.11	0.37
J064211.9-650134	G.R.Ruchti+ApJ73792011	-0.38	-0.38	0.03
J070028.0-270512	G.R.Ruchti+ApJ73792011	-1.55	-1.55	0.37
