# Object	Reference	Metallicity	[Fe/H]	[O/Fe]
BD17_4708	I.U.RoedererAJ1471362014	-1.7	-1.8	0.35
BD17_4708	J.P.FulbrightAJ12018412000	-1.5	-1.61	
BD17_4708	C.CharbonnelAAP4429612005	-1.73	-1.73	
BD17_4708	E.CaffauAAP4415332005	-1.62	-1.62	
BD17_4708	D.FabbianAAP50011432009	-1.55	-1.6	0.77
BD17_4708	J.SimmererApJ61710912004	-1.59	-1.59	
BD17_4708	M.AsplundApJ6442292006	-1.51	-1.51	0.51
BD18_2890	J.A.JohnsonApJ5796162002		-1.56	
BD18_2890	J.P.FulbrightApJ59511542003	-1.6	-1.49	0.55
BD18_2890	J.A.JohnsonApJ5548882001	-1.6	-1.56	
BD18_2890	B.W.CarneyAJ1252932003	-1.61	-1.61	
BD18_2890	J.A.JohnsonApJS1392192002	-1.6	-1.71	
BD18_2890	D.L.BurrisApJ5443022000	-1.4	-1.41	
BD18_3423	B.E.ReddyMNRAS36713292006	-0.87	-0.92	0.64
BD19_1185	A.M.BoesgaardApJ7431402011	-0.92	-0.92	0.08
BD19_1185	I.U.RoedererAJ1471362014	-1.25		
BD19_1185	I.U.RoedererApJ7249752010		-1.09	
BD19_1185	J.SimmererApJ61710912004	-1.09	-1.09	
