# Object	Reference	Metallicity	[Fe/H]	[Si/Fe]
BD+04_2466	D.L.Burris+ApJ5443022000	-1.8	-1.83	
BD+04_2621	M.N.Ishigaki+ApJ753642012	-2.37	-2.37	
BD+04_2621	J.A.Johnson+ApJ5796162002		-2.34	
BD+04_2621	M.Ishigaki+PASJ621432010	-2.68	-2.69	
BD+04_2621	J.A.Johnson+ApJ5548882001	-2.35	-2.35	
BD+04_2621	J.A.Johnson+ApJS1392192002	-2.35	-2.5	0.68
BD+04_4551	C.Charbonnel+AAP4429612005	-1.8	-1.8	
BD+04_4551	E.Caffau+AAP4415332005	-1.4	-1.4	
BD+04_4551	T.V.Mishenina+AAP3961892002	-1.51	-1.51	
BD+04_4551	T.V.Mishenina+AAP3709512001	-1.51	-1.51	0.41
BD+04_701	J.P.Fulbright+AJ12018412000		-0.14	0.11
BD+05_3098	J.A.Johnson+ApJ5796162002		-2.56	
BD+05_3098	J.A.Johnson+ApJ5548882001	-2.55	-2.57	
BD+05_3098	B.W.Carney+AJ1252932003	-2.4	-2.4	
BD+05_3098	J.A.Johnson+ApJS1392192002	-2.55	-2.72	0.59
BD+05_3640	D.Yong+ApJ59913572003	-1.34	-1.34	
BD+05_3640	R.G.Gratton+AAP4041872003	-1.15	-1.2	0.66
BD+05_3640	I.U.Roederer+ApJ7249752010		-1.3	
BD+05_3640	E.Caffau+AAP4415332005	-1.19	-1.19	
BD+05_3640	J.Simmerer+ApJ61710912004	-1.3	-1.3	
BD+07_4841	P.E.Nissen+AAP511L102010	-1.39	-1.39	0.33
BD+07_4841	P.E.Nissen+AAP4693192007	-1.46	-1.46	
BD+07_4841	Y.Takeda+PASJ63S5372011	-1.46	-1.46	
BD+07_4841	C.J.Akerman+AAP4149312004	-1.52	-1.52	
BD+07_4841	C.Charbonnel+AAP4429612005	-1.25	-1.25	
BD+07_4841	E.Caffau+AAP4415332005	-1.59	-1.59	
BD+07_4841	D.Fabbian+AAP50011432009	-1.46	-1.51	
BD+07_4841	H.L.Yan+AAP5851022016	-1.39	-1.39	
BD+07_4841	P. E. Nissen+AAP530A152011	-1.39	-1.39	
BD+07_4841	P.E.Nissen+AAP4159932004	-1.52	-1.52	
BD+08_2856	J.A.Johnson+ApJ5796162002		-1.94	
BD+08_2856	J.A.Johnson+ApJ5548882001	-2	-1.95	
BD+08_2856	C.J.Hansen+AAP545A312012	-2.09	-2.09	
BD+08_2856	B.W.Carney+AJ1252932003	-2.31	-2.31	
BD+08_2856	J.A.Johnson+ApJS1392192002	-2	-2.1	0.58
BD+09_2242	J.P.Fulbright+AJ12018412000		-0.03	0.04
BD+09_2242	R.G.Gratton+AAP4041872003	0.08	0.03	-0.05
BD+09_2242	K.A.Venn+AJ12811772004		-0.05	
BD+09_2870	L.Zhang+ApJ70610952009	-2.73	-2.56	
BD+09_2870	M.N.Ishigaki+ApJ753642012	-2.37	-2.37	0.33
BD+09_2870	J.P.Fulbright+AJ12018412000	-2.3	-2.39	0.66
BD+09_2870	M.Ishigaki+PASJ621432010	-2.7	-2.69	
BD+09_2870	B.W.Carney+AJ1252932003	-2.37	-2.37	
BD+09_2870	D.L.Burris+ApJ5443022000	-2.2	-2.2	
BD+09_2870	K.A.Venn+AJ12811772004		-2.41	
BD+09_3223	J.A.Johnson+ApJ5796162002		-2.11	
BD+09_3223	J.A.Johnson+ApJ5548882001	-2.1	-2.12	
BD+09_3223	B.W.Carney+AJ1252932003	-2.41	-2.41	
BD+09_3223	J.A.Johnson+ApJS1392192002	-2.1	-2.27	0.3
BD+09_3223	D.L.Burris+ApJ5443022000	-2.2	-2.09	
BD+10_2495	M.N.Ishigaki+ApJ753642012	-2.02	-2.02	0.29
BD+10_2495	M.Ishigaki+PASJ621432010	-2.17	-2.17	0.39
BD+10_2495	I.U.Roederer+ApJ7115732010	-2.45	-2.31	0.52
BD+10_2495	I.U.Roederer+AJ1471362014	-2.14	-2.16	0.43
BD+10_2495	L.Zhang+ApJ70610952009	-2.1	-1.93	0.32
BD+10_2495	J.A.Johnson+ApJ5796162002		-1.9	
BD+10_2495	C.Charbonnel+AAP4429612005	-1.83	-1.83	
BD+10_2495	J.A.Johnson+ApJ5548882001	-2	-1.91	
BD+10_2495	B.W.Carney+AJ1252932003	-2.14	-2.14	
BD+10_2495	J.A.Johnson+ApJS1392192002	-2	-2.06	0.27
BD+11_4725	J.P.Fulbright+AJ12018412000	-0.8	-0.95	0.36
BD+11_4725	R.G.Gratton+AAP4041872003	-0.8	-0.85	0.34
BD+11_4725	B.E.Reddy+MNRAS36713292006	-0.79	-0.84	0.4
BD+11_4725	R.Smiljanic+AAP4991032009	-0.8	-0.8	
BD+11_4725	K.A.Venn+AJ12811772004		-0.97	
BD+12_2547	L.Zhang+ApJ70610952009	-1.89	-1.72	0.17
BD+12_2547	M.N.Ishigaki+ApJ753642012	-1.91	-1.91	0.31
BD+12_2547	M.Ishigaki+PASJ621432010	-2.1	-2.11	0.47
BD+12_2547	B.W.Carney+AJ1252932003	-2.07	-2.07	
BD+12_853	R.G.Gratton+AAP4041872003	-1.13	-1.18	0.3
BD+12_853	I.U.Roederer+ApJ7249752010		-1.25	
BD+12_853	E.Caffau+AAP4415332005	-1.17	-1.17	
BD+12_853	J.Simmerer+ApJ61710912004	-1.25	-1.25	
BD+13_2698	A.M.Boesgaard+ApJ7431402011	-0.6	-0.6	
BD+13_2698	M.N.Ishigaki+ApJ753642012	-0.63	-0.63	0.24
BD+13_2698	K.A.Venn+AJ12811772004		-0.97	
BD+13_2698	J.P.Fulbright+AJ12018412000	-0.8	-0.95	0.44
BD+13_2698	M.N.Ishigaki+ApJ771672013	-0.62	-0.62	
BD+13_2698	I.U.Roederer+ApJ7249752010		-0.9	
BD+13_2698	J.Simmerer+ApJ61710912004	-0.9	-0.9	
BD+13_2698	R.Smiljanic+AAP4991032009	-0.8	-0.8	
BD+13_2698	T.Gehren+AAP45110652006	-0.95	-0.94	
BD+13_2995	M.N.Ishigaki+ApJ753642012	-1.08	-1.08	0.27
