# Object	Reference	Metallicity	[O/H]	[C/H]
BD-18_5550	T.V.Mishenina+AAP3709512001	-3.01		
BD-18_5550	J.K.Hollek+ApJ742542011	-3.2		-3.07
BD-18_5550	P.Francois+AAP4769352007	-3		
BD-18_5550	J.A.Johnson+ApJ5796162002			
BD-18_5550	J.A.Johnson+ApJ5548882001	-2.9		
BD-18_5550	J.Melendez+ApJ5754742002	-2.87	-2.16	-3.14
BD-18_5550	J.A.Johnson+ApJS1392192002	-2.9		
BD-18_5550	S.M.Andrievsky+AAP4814812008	-3.06		
BD-18_5550	S.M.Andrievsky+AAP49410832009	-3.06		
BD-18_5550	R.Cayrel+AAP41611172004	-3.06	-2.56	-2.99
BD-18_5550	M.Spite+AAP541A1432012	-3.06		
BD-18_5550	Y.Takeda+PASJ63S5372011	-3.06		
BD-18_5550	T.V.Mishenina+AAP3961892002			
BD-18_5550	D.L.Burris+ApJ5443022000	-3		
BD-18_5550	S.M.Andrievsky+AAP46410812007	-3.06		
BD-18_5550	I.U.Roederer+AJ1471362014	-3.15		-3.15
BD-18_5550	M.Spite+AAP4552912006	-3.06		-2.99
BD-18_5550	M.Spite+AAP528A92011	-3.06		
BD-18_5550	B.W.Carney+AJ1252932003	-3.11		
BS16084-160	W.Aoki+ApJ6326112005	-3		-3.23
BS16084-160	D.K.Lai+ApJ66711852007	-2.93		-2.95
BS16084-160	D.K.Lai+ApJ68115242008	-3.15	-2.79	-3.23
BS16084-160	D.K.Lai+AJ12824022004			
BS16934-002	W.Aoki+ApJ6607472007	-2.8	-1.66	-3.08
BS16934-002	W.Aoki+ApJ6326112005	-2.8		-3.13
C1012254-203007	G.Ruchti+ApJ7431072011	-2.55	-1.94	-3.25
CD-2417504	D.Fabbian+AAP50011432009	-3.21	-2.45	-2.62
CD-3018140	D.Fabbian+AAP50011432009	-1.89	-1.11	-1.7
CD-30_18140	S.G.Ryan+ApJ549552001	-2.1		
CD-30_18140	P.E.Nissen+AAP4693192007	-1.89		
CD-30_18140	J.Melendez+ApJ64210822006	-1.7	-1.03	
CD-30_18140	C.J.Hansen+AAP545A312012	-1.92		
CD-30_18140	C.J.Akerman+AAP4149312004	-1.88	-1.14	-1.71
