energy[ev]	n     k
      1554.00      0.99972218   4.6233956e-05
      1554.10      0.99972222   4.6223307e-05
      1554.20      0.99972225   4.6212661e-05
      1554.30      0.99972228   4.6202004e-05
      1554.40      0.99972232   4.6191362e-05
      1554.50      0.99972235   4.6180723e-05
      1554.60      0.99972239   4.6170086e-05
      1554.70      0.99972242   4.6159452e-05
      1554.80      0.99972246   4.6148807e-05
      1554.90      0.99972249   4.6138177e-05
      1555.00      0.99972253   4.6127549e-05
      1555.10      0.99972256   4.6116924e-05
      1555.20      0.99972260   4.6106301e-05
      1555.30      0.99972263   4.6095668e-05
      1555.40      0.99972267   4.6085050e-05
      1555.50      0.99972270   4.6074434e-05
      1555.60      0.99972274   4.6063821e-05
      1555.70      0.99972277   4.6053210e-05
      1555.80      0.99972280   4.6042588e-05
      1555.90      0.99972284   4.6031982e-05
      1556.00      0.99972287   4.6021378e-05
      1556.10      0.99972291   4.6010777e-05
      1556.20      0.99972294   4.6000177e-05
      1556.30      0.99972298   4.5989567e-05
      1556.40      0.99972301   4.5978973e-05
      1556.50      0.99972305   4.5968381e-05
      1556.60      0.99972308   4.5957791e-05
      1556.70      0.99972312   4.5947203e-05
      1556.80      0.99972315   4.5936605e-05
      1556.90      0.99972318   4.5926022e-05
      1557.00      0.99972322   4.5915442e-05
      1557.10      0.99972325   4.5904864e-05
      1557.20      0.99972329   4.5894288e-05
      1557.30      0.99972332   4.5883701e-05
      1557.40      0.99972336   4.5873130e-05
      1557.50      0.99972339   4.5862561e-05
      1557.60      0.99972343   4.5851995e-05
      1557.70      0.99972346   4.5841431e-05
      1557.80      0.99972350   4.5830856e-05
      1557.90      0.99972353   4.5820296e-05
      1558.00      0.99972356   4.5809739e-05
      1558.10      0.99972360   4.5799184e-05
      1558.20      0.99972363   4.5788632e-05
      1558.30      0.99972367   4.5778069e-05
      1558.40      0.99972370   4.5767521e-05
      1558.50      0.99972374   4.5756976e-05
      1558.60      0.99972377   4.5746432e-05
      1558.70      0.99972381   4.5735892e-05
      1558.80      0.99972384   4.5725340e-05
      1558.90      0.99972387   4.5714804e-05
      1559.00      0.99972391   4.5704270e-05
      1559.10      0.99972394   4.5693739e-05
      1559.20      0.99972398   4.5683209e-05
      1559.30      0.99972401   4.5672670e-05
      1559.40      0.99972405   4.5662145e-05
      1559.50      0.99972408   4.5651623e-05
      1559.60      0.99972411   4.5641103e-05
      1559.70      0.99972415   4.5630585e-05
